架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,货箱数,载货质量_kg,载货体积_m3,充满时刻_s
OPT-001,U05,B,B-B01,0,O01→S009→S002→O01,2032.764692772956,2.5092211579755985,3,19.0,0.068,3786.7605278957153
OPT-002,U07,C,C-B01,0,O01→S002→O01,2112.1173209345934,6.188207991148028,6,65.0,0.155,4621.4236518705175
OPT-003,U08,C,C-B02,0,O01→S006→O01,1561.3384316100783,2.5967362481221263,6,59.0,0.156,3097.954498809821
OPT-004,U01,A,A-B01,0,O01→S007→O01,1728.1640849143257,1.9726788391420222,2,22.0,0.055,2798.0490828886877
OPT-005,U06,B,B-B02,0,O01→S007→O01,1576.8673992791169,1.657955381635115,2,20.0,0.062,2961.9813979876662
OPT-006,U02,A,A-B02,0,O01→S010→O01,1654.7446283967497,1.954588453417676,2,17.0,0.039,2719.403514939634
OPT-007,U03,A,A-B03,0,O01→S011→S015→O01,2216.4837554491605,2.4890045277483153,2,16.0,0.056,3435.529507909785
OPT-008,U04,A,A-B04,0,O01→S013→S012→O01,2399.8608598529595,3.024569361905304,3,20.0,0.051000000000000004,3773.625342181158
OPT-009,U08,C,C-B03,1562,O01→S001→O01,3123.8837411952854,2.929430740506568,7,76.0,0.159,4750.604566749147
OPT-010,U06,B,B-B03,1577,O01→S014→O01,3446.405648119208,2.139455036916048,3,25.0,0.067,5040.169497449495
OPT-011,U02,A,A-B05,1655,O01→S011→S015→O01,3931.4837554491605,2.5866042921387935,3,20.0,0.051000000000000004,5178.724995400367
OPT-012,U01,A,A-B06,1729,O01→S012→O01,3840.7960112916944,3.064880147757888,2,22.0,0.055,5226.205831755085
OPT-013,U05,B,B-B04,2033,O01→S007→S003→O01,4273.76827715357,2.5308484199305328,3,19.0,0.068,6037.135925790134
OPT-014,U07,C,C-B04,2113,O01→S001→S009→S011→O01,4588.909051870648,5.367237905002829,6,78.0,0.163,6875.869317808914
OPT-015,U03,A,A-B02,2720,O01→S005→O01,4416.748019004446,2.2038060982788035,2,22.0,0.055,5553.403114062767
OPT-016,U04,A,A-B01,2799,O01→S005→O01,4495.748019004446,2.131792074190883,2,17.0,0.039,5611.59906265959
OPT-017,U08,C,C-B02,3124,O01→S003→O01,5560.894064880402,6.2104506441401695,6,65.0,0.155,8076.2244476683645
OPT-018,U06,B,B-B02,3447,O01→S008→O01,5414.099882661642,2.9892366275213544,3,25.0,0.067,7376.10242125423
OPT-019,U01,A,A-B03,3841,O01→S013→S010→O01,5852.0200464202535,2.2487583873199966,2,16.0,0.056,7001.661358312696
OPT-020,U05,B,B-B01,4274,O01→S008→O01,6181.099882661642,2.7764482897371288,2,20.0,0.062,8050.894141547731
OPT-021,U07,C,C-B01,4623,O01→S004→O01,6929.340988872751,6.183632102881447,6,59.0,0.156,9437.408016736477
OPT-022,U06,B,B-B03,5415,O01→S005→O01,6934.81627588064,1.8435292042378821,2,20.0,0.062,8400.345597717056
OPT-023,U08,C,C-B03,5561,O01→S001→O01,6990.883741195285,2.1522600937964227,5,36.0,0.15400000000000003,8407.120849931816
