架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,货箱数,载货质量_kg,载货体积_m3,充满时刻_s
OPT-001,U01,A,A-B01,0,O01→S001→O01,1193.0428319099597,1.2243670880422255,1,14.0,0.027,2046.7488795666027
OPT-002,U02,A,A-B02,0,O01→S001→O01,1193.0428319099597,1.2243670880422255,1,14.0,0.027,2046.7488795666027
OPT-003,U03,A,A-B03,0,O01→S001→O01,1193.0428319099597,1.2243670880422255,1,14.0,0.027,2046.7488795666027
OPT-004,U07,C,C-B01,0,O01→S002→O01,2112.1173209345934,6.188207991148028,6,65.0,0.155,4621.4236518705175
OPT-005,U08,C,C-B02,0,O01→S007→O01,1908.158457628726,3.4140282492727447,5,45.0,0.129,3666.124441806761
OPT-006,U05,B,B-B01,0,O01→S013→O01,1511.124271245235,1.8264941955170582,3,25.0,0.067,2969.2717559692933
OPT-007,U06,B,B-B02,5,O01→S010→O01,1560.285086506462,1.822944274911587,3,25.0,0.067,3016.894272301483
OPT-008,U05,B,B-B03,1512,O01→S012→O01,3436.9051008627825,2.7581750126566105,3,25.0,0.067,5298.780939680647
OPT-009,U06,B,B-B04,1561,O01→S014→O01,3430.405648119208,2.139455036916048,3,25.0,0.067,5024.169497449495
OPT-010,U08,C,C-B03,1909,O01→S006→O01,3470.3384316100783,2.5967362481221263,6,59.0,0.156,5006.9544988098205
OPT-011,U07,C,C-B04,2113,O01→S001→O01,3674.8837411952854,2.929430740506568,7,76.0,0.159,5301.604566749147
OPT-012,U06,B,B-B01,3431,O01→S015→O01,5261.472032032237,2.3132950875600145,3,25.0,0.067,6930.56656997491
OPT-013,U05,B,B-B02,3437,O01→S008→O01,5404.099882661642,2.9892366275213544,3,25.0,0.067,7366.10242125423
OPT-014,U08,C,C-B02,3667,O01→S004→O01,5973.340988872751,6.183632102881447,6,59.0,0.156,8481.408016736477
OPT-015,U07,C,C-B01,4623,O01→S003→O01,7059.894064880402,6.2104506441401695,6,65.0,0.155,9575.224447668365
OPT-016,U06,B,B-B04,5262,O01→S008→O01,7169.099882661642,2.7764482897371288,2,20.0,0.062,9038.894141547731
OPT-017,U05,B,B-B03,5405,O01→S009→S002→O01,7437.764692772957,2.5092211579755985,3,19.0,0.068,9191.760527895716
OPT-018,U08,C,C-B03,5974,O01→S001→O01,7403.883741195285,2.1522600937964227,5,36.0,0.15400000000000003,8820.120849931816
OPT-019,U07,C,C-B04,7060,O01→S005→O01,8940.8365721046,4.243375238123245,6,59.0,0.156,10923.417365762978
OPT-020,U06,B,B-B01,7170,O01→S003→O01,9191.326018819203,2.473006394588505,2,16.0,0.056,10929.628789807555
OPT-021,U05,B,B-B02,7438,O01→S009→O01,8939.63349962541,2.0083283642048966,2,22.0,0.055,10476.575790780866
OPT-022,U05,B,B-B04,9040,O01→S011→O01,10170.051067070412,1.0298573615939612,2,22.0,0.055,11282.989257094461
OPT-023,U06,B,B-B03,9192,O01→S011→O01,10262.051067070412,0.8749690170966982,1,3.0,0.012,11307.870974478981
