架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,货箱数,载货质量_kg,载货体积_m3,充满时刻_s
OPT-001,U01,A,A-B01,0,O01→S001→O01,1193.0428319099597,1.2243670880422255,1,14.0,0.027,2046.7488795666027
OPT-002,U07,C,C-B01,0,O01→S002→O01,2112.1173209345934,6.188207991148028,6,65.0,0.155,4621.4236518705175
OPT-003,U08,C,C-B02,0,O01→S006→O01,1561.3384316100783,2.5967362481221263,6,59.0,0.156,3097.954498809821
OPT-004,U02,A,A-B02,0,O01→S013→S007→O01,2551.9081133012705,3.3989048761150147,2,11.0,0.04,4033.8139664011637
OPT-005,U03,A,A-B03,0,O01→S007→O01,1728.1640849143257,1.829096309512252,2,9.0,0.047,2756.5696854400876
OPT-006,U05,B,B-B01,0,O01→S010→O01,1555.285086506462,1.822944274911587,3,25.0,0.067,3011.894272301483
OPT-007,U04,A,A-B04,0,O01→S013→O01,1612.9286703553717,2.0273799456795905,2,22.0,0.055,2698.6162102183644
OPT-008,U06,B,B-B02,0,O01→S014→O01,1869.4056481192079,2.139455036916048,3,25.0,0.067,3463.1694974494953
OPT-009,U01,A,A-B05,1194,O01→S003→O01,3457.6326728566873,2.966638085693427,2,16.0,0.056,4814.661453168122
OPT-010,U05,B,B-B03,1556,O01→S012→O01,3480.9051008627825,2.7581750126566105,3,25.0,0.067,5342.780939680647
OPT-011,U08,C,C-B03,1562,O01→S001→O01,3123.8837411952854,2.929430740506568,7,76.0,0.159,4750.604566749147
OPT-012,U04,A,A-B06,1697,O01→S001→O01,2890.0428319099597,1.2243670880422255,1,14.0,0.027,3743.7488795666027
OPT-013,U06,B,B-B04,1870,O01→S007→O01,3446.867399279117,1.880687172554274,2,28.0,0.054,4928.498507385969
OPT-014,U07,C,C-B04,2113,O01→S003→O01,4549.894064880402,6.2104506441401695,6,65.0,0.155,7065.2244476683645
OPT-015,U03,A,A-B01,2118,O01→S001→O01,3311.0428319099597,1.2243670880422255,1,14.0,0.027,4164.748879566602
OPT-016,U02,A,A-B04,2699,O01→S008→O01,4816.71809815941,3.16134204205689,1,14.0,0.027,6229.994688086957
OPT-017,U08,C,C-B02,3124,O01→S004→O01,5430.340988872751,6.183632102881447,6,59.0,0.156,7938.408016736476
OPT-018,U04,A,A-B03,3175,O01→S002→O01,5184.119152083769,2.9152424818363283,2,16.0,0.056,6526.300313503153
OPT-019,U06,B,B-B01,3447,O01→S009→O01,5008.63349962541,2.1047274878396594,3,25.0,0.067,6587.348744355929
OPT-020,U05,B,B-B02,3481,O01→S008→O01,5388.099882661642,2.7764482897371288,2,20.0,0.062,7257.894141547731
OPT-021,U01,A,A-B06,3745,O01→S005→S008→O01,6244.646021886475,3.230295747619912,3,14.0,0.052000000000000005,7677.842571198894
OPT-022,U07,C,C-B01,4623,O01→S005→O01,6437.836572104598,4.148164634303663,5,56.0,0.144,8394.631160561841
OPT-023,U06,B,B-B04,5009,O01→S015→O01,6839.472032032237,2.3132950875600145,3,25.0,0.067,8508.56656997491
OPT-024,U05,B,B-B03,5389,O01→S011→O01,6579.051067070412,1.078291014653385,3,25.0,0.067,7712.977173420211
OPT-025,U08,C,C-B03,5431,O01→S001→O01,6860.883741195285,2.1522600937964227,5,36.0,0.15400000000000003,8277.120849931816
