架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,货箱数,载货质量_kg,载货体积_m3,充满时刻_s
OPT-001,U01,A,A-B01,0,O01→S001→S012→O01,2433.6136749363163,3.0660452015870154,3,20.0,0.051000000000000004,3819.3600665058984
OPT-002,U07,C,C-B01,0,O01→S002→O01,2112.1173209345934,6.188207991148028,6,65.0,0.155,4621.4236518705175
OPT-003,U02,A,A-B02,0,O01→S011→S015→O01,2276.4837554491605,2.5866042921387935,3,20.0,0.051000000000000004,3523.7249954003673
OPT-004,U03,A,A-B03,0,O01→S013→S012→O01,2399.8608598529595,2.982646637710893,3,14.0,0.052000000000000005,3761.5143329694397
OPT-005,U04,A,A-B04,0,O01→S013→O01,1612.9286703553717,2.0273799456795905,2,22.0,0.055,2698.6162102183644
OPT-006,U05,B,B-B01,0,O01→S014→O01,1869.4056481192079,2.139455036916048,3,25.0,0.067,3463.1694974494953
OPT-007,U06,B,B-B02,1,O01→S010→O01,1556.285086506462,1.822944274911587,3,25.0,0.067,3012.894272301483
OPT-008,U08,C,C-B02,29,O01→S001→O01,1458.8837411952854,2.7314244897906628,5,70.0,0.135,3031.977873846923
OPT-009,U08,C,C-B03,1459,O01→S006→O01,3020.3384316100783,2.5967362481221263,6,59.0,0.156,4556.9544988098205
OPT-010,U05,B,B-B03,1871,O01→S007→O01,3447.867399279117,1.880687172554274,2,28.0,0.054,4929.498507385969
OPT-011,U07,C,C-B04,2113,O01→S001→S009→S011→O01,4588.909051870648,5.367237905002829,6,78.0,0.163,6875.869317808914
OPT-012,U06,B,B-B04,2185,O01→S007→S003→O01,4425.76827715357,2.5308484199305328,3,19.0,0.068,6189.135925790134
OPT-013,U08,C,C-B02,3033,O01→S001→S007→O01,5515.351266022946,4.533539837460378,7,50.0,0.21700000000000003,7576.518305335132
OPT-014,U05,B,B-B02,3448,O01→S008→O01,5415.099882661642,2.9892366275213544,3,25.0,0.067,7377.10242125423
OPT-015,U06,B,B-B01,4426,O01→S008→O01,6333.099882661642,2.7764482897371288,2,20.0,0.062,8202.894141547731
OPT-016,U07,C,C-B03,4589,O01→S004→O01,6895.340988872751,6.183632102881447,6,59.0,0.156,9403.408016736477
OPT-017,U05,B,B-B03,5416,O01→S009→S002→O01,7448.764692772957,2.5092211579755985,3,19.0,0.068,9202.760527895716
OPT-018,U08,C,C-B01,5516,O01→S003→O01,7952.894064880402,6.2104506441401695,6,65.0,0.155,10468.224447668365
OPT-019,U06,B,B-B04,6334,O01→S011→S015→O01,8345.287114873652,2.050002119782333,2,16.0,0.056,9900.288033445997
OPT-020,U07,C,C-B04,6896,O01→S005→O01,8776.8365721046,4.243375238123245,6,59.0,0.156,10759.417365762978
