架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,货箱数,载货质量_kg,载货体积_m3,充满时刻_s
OPT-001,U01,A,A-B01,0,O01→S005→S004→O01,2482.4117078051177,3.2107821118299693,3,20.0,0.051000000000000004,3909.9709845559973
OPT-002,U07,C,C-B01,0,O01→S006→O01,1561.3384316100783,2.5967362481221263,6,59.0,0.156,3097.954498809821
OPT-003,U05,B,B-B01,0,O01→S007→O01,1576.8673992791169,1.880687172554274,2,28.0,0.054,3058.498507385969
OPT-004,U02,A,A-B02,0,O01→S012→S009→O01,2437.5465212461404,3.2628481080697593,3,20.0,0.051000000000000004,3880.1470857996264
OPT-005,U03,A,A-B03,0,O01→S010→S013→O01,2071.020046420254,2.2896010155969475,3,20.0,0.051000000000000004,3232.460339814928
OPT-006,U04,A,A-B04,0,O01→S013→O01,1612.9286703553717,2.0273799456795905,2,22.0,0.055,2698.6162102183644
OPT-007,U06,B,B-B02,0,O01→S014→O01,1869.4056481192079,2.139455036916048,3,25.0,0.067,3463.1694974494953
OPT-008,U08,C,C-B02,1,O01→S002→O01,2113.1173209345934,6.188207991148028,6,65.0,0.155,4622.4236518705175
OPT-009,U07,C,C-B03,1562,O01→S001→O01,3123.8837411952854,2.929430740506568,7,76.0,0.159,4750.604566749147
OPT-010,U05,B,B-B03,1577,O01→S004→O01,3503.927933452829,2.6814146621746975,2,20.0,0.062,5332.540953728531
OPT-011,U04,A,A-B05,1613,O01→S010→S012→O01,4092.6591162435275,3.2056017100104066,2,16.0,0.056,5518.7218324687565
OPT-012,U06,B,B-B04,1870,O01→S007→S003→O01,4110.76827715357,2.5308484199305328,3,19.0,0.068,5874.135925790134
OPT-013,U03,A,A-B06,2072,O01→S011→S015→O01,4348.4837554491605,2.5866042921387935,3,20.0,0.051000000000000004,5595.724995400367
OPT-014,U08,C,C-B04,2114,O01→S001→S011→S009→O01,4746.130695593446,6.202888976206001,6,78.0,0.163,7259.413126649238
OPT-015,U01,A,A-B04,2699,O01→S011→S015→O01,4915.4837554491605,2.4890045277483153,2,16.0,0.056,6134.529507909785
OPT-016,U07,C,C-B01,3124,O01→S003→O01,5560.894064880402,6.2104506441401695,6,65.0,0.155,8076.2244476683645
OPT-017,U02,A,A-B03,3245,O01→S004→O01,5430.405555854122,3.2067987733406556,2,22.0,0.055,6856.814090374756
OPT-018,U05,B,B-B01,3504,O01→S008→O01,5411.099882661642,2.7764482897371288,2,20.0,0.062,7280.894141547731
OPT-019,U06,B,B-B02,4111,O01→S008→O01,6078.099882661642,2.9892366275213544,3,25.0,0.067,8040.10242125423
OPT-020,U08,C,C-B02,4747,O01→S001→S007→O01,7229.351266022946,4.533539837460378,7,50.0,0.21700000000000003,9290.518305335132
OPT-021,U05,B,B-B03,5412,O01→S002→O01,7172.999236217796,2.4173841252061674,2,16.0,0.056,8887.199023807136
OPT-022,U07,C,C-B03,5561,O01→S005→O01,7375.836572104598,4.148164634303663,5,56.0,0.144,9332.631160561841
