货箱编号,架次编号,服务区编号,物资类型,是否首批保障,交付完成时刻_s,硬截止时刻_s,期望送达时刻_s,相对期望延误_s,应急优先系数
S001-MED-01,OPT-001,S001,医疗物资,是,939.6447492883132,3600.0,3600,0.0,24
S001-MED-02,OPT-001,S001,医疗物资,否,939.6447492883132,3600.0,3600,0.0,24
S012-WAT-01,OPT-001,S012,饮用水,是,1657.645669290469,3600.0,3600,0.0,12
S002-HYG-01,OPT-002,S002,生活卫生用品,否,1489.4686604672966,,10800,0.0,8
S002-MED-01,OPT-002,S002,医疗物资,是,1489.4686604672966,3600.0,3600,0.0,24
S002-WAT-01,OPT-002,S002,饮用水,是,1489.4686604672966,3600.0,3600,0.0,12
S002-WAT-02,OPT-002,S002,饮用水,否,1489.4686604672966,,3600,0.0,12
S002-WAT-03,OPT-002,S002,饮用水,否,1489.4686604672966,,3600,0.0,12
S002-WAT-04,OPT-002,S002,饮用水,否,1489.4686604672966,,3600,0.0,12
S011-MED-01,OPT-003,S011,医疗物资,是,894.2172617676404,10800.0,10800,0.0,16
S015-MED-01,OPT-003,S015,医疗物资,是,1564.2569322470463,7200.0,7200,0.0,18
S015-WAT-01,OPT-003,S015,饮用水,是,1564.2569322470463,10800.0,10800,0.0,8
S012-FOD-01,OPT-004,S012,应急食品,否,1623.8928542071121,,7200,0.0,10
S012-MED-01,OPT-004,S012,医疗物资,是,1623.8928542071121,3600.0,7200,0.0,22
S013-MED-01,OPT-004,S013,医疗物资,是,1083.9976685110191,3600.0,3600,0.0,24
S013-FOD-01,OPT-005,S013,应急食品,否,1083.9976685110191,,7200,0.0,10
S013-WAT-01,OPT-005,S013,饮用水,是,1083.9976685110191,3600.0,3600,0.0,12
S014-FOD-01,OPT-006,S014,应急食品,否,1242.2594907262705,,7200,0.0,10
S014-MED-01,OPT-006,S014,医疗物资,是,1242.2594907262705,3600.0,7200,0.0,22
S014-WAT-01,OPT-006,S014,饮用水,是,1242.2594907262705,3600.0,3600,0.0,12
S010-FOD-01,OPT-007,S010,应急食品,否,1086.1792099198976,,7200,0.0,10
S010-MED-01,OPT-007,S010,医疗物资,是,1086.1792099198976,3600.0,3600,0.0,24
S010-WAT-01,OPT-007,S010,饮用水,是,1086.1792099198976,3600.0,3600,0.0,12
S001-WAT-01,OPT-008,S001,饮用水,是,1146.1268705976427,3600.0,3600,0.0,12
S001-WAT-02,OPT-008,S001,饮用水,否,1146.1268705976427,,3600,0.0,12
S001-WAT-03,OPT-008,S001,饮用水,否,1146.1268705976427,,3600,0.0,12
S001-WAT-04,OPT-008,S001,饮用水,否,1146.1268705976427,,3600,0.0,12
S001-WAT-05,OPT-008,S001,饮用水,否,1146.1268705976427,,3600,0.0,12
S006-FOD-01,OPT-009,S006,应急食品,否,2668.314215805039,,7200,0.0,10
S006-HYG-01,OPT-009,S006,生活卫生用品,否,2668.314215805039,,10800,0.0,8
S006-MED-01,OPT-009,S006,医疗物资,是,2668.314215805039,3600.0,3600,0.0,24
S006-WAT-01,OPT-009,S006,饮用水,是,2668.314215805039,3600.0,3600,0.0,12
S006-WAT-02,OPT-009,S006,饮用水,否,2668.314215805039,,3600,0.0,12
S006-WAT-03,OPT-009,S006,饮用水,否,2668.314215805039,,3600,0.0,12
S007-WAT-01,OPT-010,S007,饮用水,是,2937.073699639558,3600.0,3600,0.0,12
S007-WAT-02,OPT-010,S007,饮用水,否,2937.073699639558,,3600,0.0,12
S001-WAT-06,OPT-011,S001,饮用水,否,3188.1268705976427,,3600,0.0,12
S001-WAT-07,OPT-011,S001,饮用水,否,3188.1268705976427,,3600,0.0,12
S001-WAT-08,OPT-011,S001,饮用水,否,3188.1268705976427,,3600,0.0,12
S009-FOD-01,OPT-011,S009,应急食品,否,3692.9180212528777,,14400,0.0,6
S009-WAT-01,OPT-011,S009,饮用水,是,3692.9180212528777,10800.0,10800,0.0,8
S011-WAT-01,OPT-011,S011,饮用水,是,4283.753225773593,10800.0,10800,0.0,8
S003-FOD-01,OPT-012,S003,应急食品,否,3693.0786010773018,,10800,0.0,8
S003-FOD-02,OPT-012,S003,应急食品,否,3693.0786010773018,,10800,0.0,8
S007-MED-01,OPT-012,S007,医疗物资,是,3251.073699639558,3600.0,3600,0.0,24
S001-FOD-01,OPT-013,S001,应急食品,否,4210.126870597643,,7200,0.0,10
S001-FOD-02,OPT-013,S001,应急食品,否,4210.126870597643,,7200,0.0,10
S001-FOD-03,OPT-013,S001,应急食品,否,4210.126870597643,,7200,0.0,10
S001-HYG-01,OPT-013,S001,生活卫生用品,否,4210.126870597643,,10800,0.0,8
S001-HYG-02,OPT-013,S001,生活卫生用品,否,4210.126870597643,,10800,0.0,8
S007-FOD-01,OPT-013,S007,应急食品,否,4955.232037208583,,7200,0.0,10
S007-HYG-01,OPT-013,S007,生活卫生用品,否,4955.232037208583,,10800,0.0,8
S008-FOD-01,OPT-014,S008,应急食品,否,4741.776607997488,,10800,0.0,8
