架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,货箱数,载货质量_kg,载货体积_m3,返航SOC,充满时刻_s
R000025,U01,A,A-B01,0.0,O01→S003→O01,2263.6326728566873,2.966638085693427,2,16.0,0.056,0.34074709206812726,3620.6614531681216
R000086,U02,A,A-B02,0.0,O01→S011→O01,1224.0611902019475,1.1961365366604175,2,22.0,0.055,0.7341918807421295,2069.611745237179
R000097,U03,A,A-B03,0.0,O01→S013→O01,1552.9286703553717,1.9263059054740999,1,14.0,0.027,0.5719320210057556,2609.4170430478894
R000100,U04,A,A-B04,0.0,O01→S013→O01,1612.9286703553717,1.8974574515783407,2,11.0,0.04,0.5783427885381465,2661.083045255781
R000248,U05,B,B-B01,0.0,O01→S012→O01,1924.9051008627825,2.7581750126566105,3,25.0,0.067,0.3104562468358474,3786.780939680647
R005826,U06,B,B-B02,0.0,O01→S011→S008→O01,2211.2283546954777,2.564718430814736,3,12.0,0.059,0.358820392296316,3989.27300804853
R000438,U07,C,C-B01,0.0,O01→S001→O01,1561.8837411952854,2.929430740506568,7,76.0,0.159,0.633821157436679,3188.6045667491476
R000637,U08,C,C-B02,0.0,O01→S006→O01,1561.3384316100783,2.5967362481221263,6,59.0,0.156,0.6754079689847342,3097.954498809821
R071594,U02,A,A-B05,1224.0611902019475,O01→S001→O01,2417.1040221119074,1.2243670880422255,1,14.0,0.027,0.7279184248795054,3270.8100697685504
R000660,U08,C,C-B03,1561.3384316100783,O01→S007→O01,3469.496889238804,3.4140282492727447,5,45.0,0.129,0.5732464688409069,5227.462873416839
R000490,U07,C,C-B04,1561.8837411952854,O01→S002→O01,3674.001062129879,6.188207991148028,6,65.0,0.155,0.22647400110649651,6183.307393065803
R001706,U03,A,A-B06,1552.9286703553717,O01→S005→S008→O01,3992.5746922418466,3.2380278246304393,2,16.0,0.056,0.28043826119323567,5428.0049526906405
R000234,U05,B,B-B03,1924.9051008627825,O01→S010→O01,3480.1901873692445,1.822944274911587,3,25.0,0.067,0.5442639312721033,4936.7993731642655
R000074,U04,A,A-B02,2069.611745237179,O01→S009→O01,3762.214685239319,2.340786267550605,2,22.0,0.055,0.4798252738776434,4938.441829198382
R000262,U06,B,B-B04,2211.2283546954777,O01→S014→O01,4080.6340028146856,2.139455036916048,3,25.0,0.067,0.46513624077098803,5674.3978521449735
R071595,U01,A,A-B03,2609.4170430478894,O01→S001→O01,3802.459874957849,1.2243670880422255,1,14.0,0.027,0.7279184248795054,4656.165922614492
R000575,U08,C,C-B01,3469.496889238804,O01→S004→O01,5775.837878111555,6.183632102881447,6,59.0,0.156,0.22704598713981916,8283.90490597528
R000543,U07,C,C-B02,3674.001062129879,O01→S003→O01,6110.895127010281,6.2104506441401695,6,65.0,0.155,0.22369366948247882,8626.225509798243
R000269,U05,B,B-B01,3786.780939680647,O01→S015→O01,5617.252971712884,2.3132950875600145,3,25.0,0.067,0.4216762281099964,7286.347509655557
R003841,U06,B,B-B02,4080.6340028146856,O01→S009→S002→O01,6113.398695587642,2.5092211579755985,3,19.0,0.068,0.37269471050610037,7867.3945307104
R000215,U05,B,B-B03,5617.252971712884,O01→S008→O01,7524.352854374526,3.1614530213285272,2,28.0,0.054,0.2096367446678682,9560.98249695022
R000604,U08,C,C-B03,5775.837878111555,O01→S005→O01,7590.674450216154,4.008758049750108,5,51.0,0.128,0.49890524378123646,9509.713088690141
R071593,U01,A,A-B01,3802.459874957849,O01→S001→O01,4995.502706867808,1.2243670880422255,1,14.0,0.027,0.7279184248795054,5849.208754524451
R000115,U06,B,B-B04,6113.398695587642,O01→S001→O01,7264.213566747119,0.9937863532478961,2,12.0,0.07,0.751553411688026,8361.520986487874
R000278,U07,C,C-B04,6183.307393065803,O01→S001→O01,7481.191134261088,2.054099291436448,3,24.0,0.084,0.743237588570444,8870.843025691793
