架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,货箱数,载货质量_kg,载货体积_m3,返航SOC,充满时刻_s
R071593,U01,A,A-B01,0.0,O01→S001→O01,1193.0428319099597,1.2243670880422255,1,14.0,0.027,0.7279184248795054,2046.7488795666027
R071594,U02,A,A-B02,0.0,O01→S001→O01,1193.0428319099597,1.2243670880422255,1,14.0,0.027,0.7279184248795054,2046.7488795666027
R071595,U03,A,A-B03,0.0,O01→S001→O01,1193.0428319099597,1.2243670880422255,1,14.0,0.027,0.7279184248795054,2046.7488795666027
R000262,U05,B,B-B01,0.0,O01→S014→O01,1869.4056481192079,2.139455036916048,3,25.0,0.067,0.46513624077098803,3463.1694974494953
R000637,U07,C,C-B01,0.0,O01→S006→O01,1561.3384316100783,2.5967362481221263,6,59.0,0.156,0.6754079689847342,3097.954498809821
R000660,U08,C,C-B02,0.0,O01→S007→O01,1908.158457628726,3.4140282492727447,5,45.0,0.129,0.5732464688409069,3666.124441806761
R000234,U06,B,B-B02,0.0,O01→S010→O01,1555.285086506462,1.822944274911587,3,25.0,0.067,0.5442639312721033,3011.894272301483
R000248,U06,B,B-B03,1555.285086506462,O01→S012→O01,3480.1901873692445,2.7581750126566105,3,25.0,0.067,0.3104562468358474,5342.066026187109
R000438,U07,C,C-B03,1561.3384316100783,O01→S001→O01,3123.2221728053637,2.929430740506568,7,76.0,0.159,0.633821157436679,4749.942998359225
R000255,U05,B,B-B04,1869.4056481192079,O01→S013→O01,3380.529919364443,1.8264941955170582,3,25.0,0.067,0.5433764511207355,4838.677404088501
R000490,U08,C,C-B04,1908.158457628726,O01→S002→O01,4020.2757785633194,6.188207991148028,6,65.0,0.155,0.22647400110649651,6529.582109499243
R000680,U07,C,C-B01,3123.2221728053637,O01→S008→O01,5196.1918328921365,5.489545763843541,3,31.0,0.066,0.3138067795195574,7516.277143933095
R000211,U05,B,B-B02,3380.529919364443,O01→S008→O01,5287.629802026086,2.601528808195276,2,14.0,0.063,0.349617797951181,7081.625618910705
R000241,U06,B,B-B01,3480.1901873692445,O01→S011→O01,4670.241254439657,1.078291014653385,3,25.0,0.067,0.7304272463366537,5804.167360789457
R000516,U08,C,C-B02,4020.2757785633194,O01→S003→O01,6391.169843443721,6.047997322097612,5,62.0,0.143,0.24400033473779847,8862.502451511824
R000269,U06,B,B-B04,4838.677404088501,O01→S015→O01,6669.149436120738,2.3132950875600145,3,25.0,0.067,0.4216762281099964,8338.24397406341
R000575,U07,C,C-B03,5196.1918328921365,O01→S004→O01,7502.532821764888,6.183632102881447,6,59.0,0.156,0.22704598713981916,10010.599849628612
R000158,U05,B,B-B03,5342.066026187109,O01→S003→O01,7423.392045006312,2.555978122448744,3,19.0,0.068,0.36100546938781397,9197.649231400768
R000606,U08,C,C-B04,6529.582109499243,O01→S005→O01,8410.418681603842,4.243375238123245,6,59.0,0.156,0.4695780952345944,10392.99947526222
R003841,U06,B,B-B01,6669.149436120738,O01→S009→S002→O01,8701.914128893693,2.5092211579755985,3,19.0,0.068,0.37269471050610037,10455.909964016453
R000223,U05,B,B-B02,7423.392045006312,O01→S009→O01,8925.025544631722,2.0083283642048966,2,22.0,0.055,0.49791790894877586,10461.967835787178
R000280,U07,C,C-B01,7516.277143933095,O01→S001→O01,8946.160885128382,2.1522600937964227,5,36.0,0.15400000000000003,0.7309674882754471,10362.397993864914
