架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,货箱数,载货质量_kg,载货体积_m3,返航SOC,充满时刻_s
R001706,U01,A,A-B01,0.0,O01→S005→S008→O01,2439.646021886475,3.2380278246304393,2,16.0,0.056,0.28043826119323567,3875.076282335269
R071593,U02,A,A-B02,0.0,O01→S001→O01,1193.0428319099597,1.2243670880422255,1,14.0,0.027,0.7279184248795054,2046.7488795666027
R071594,U03,A,A-B03,0.0,O01→S001→O01,1193.0428319099597,1.2243670880422255,1,14.0,0.027,0.7279184248795054,2046.7488795666027
R071595,U04,A,A-B04,0.0,O01→S001→O01,1193.0428319099597,1.2243670880422255,1,14.0,0.027,0.7279184248795054,2046.7488795666027
R000234,U05,B,B-B01,0.0,O01→S010→O01,1555.285086506462,1.822944274911587,3,25.0,0.067,0.5442639312721033,3011.894272301483
R000255,U06,B,B-B02,0.0,O01→S013→O01,1511.124271245235,1.8264941955170582,3,25.0,0.067,0.5433764511207355,2969.2717559692933
R000637,U07,C,C-B01,0.0,O01→S006→O01,1561.3384316100783,2.5967362481221263,6,59.0,0.156,0.6754079689847342,3097.954498809821
R000660,U08,C,C-B02,0.0,O01→S007→O01,1908.158457628726,3.4140282492727447,5,45.0,0.129,0.5732464688409069,3666.124441806761
R000262,U06,B,B-B03,1511.124271245235,O01→S014→O01,3380.529919364443,2.139455036916048,3,25.0,0.067,0.46513624077098803,4974.29376869473
R000248,U05,B,B-B04,1555.285086506462,O01→S012→O01,3480.1901873692445,2.7581750126566105,3,25.0,0.067,0.3104562468358474,5342.066026187109
R000438,U07,C,C-B03,1561.3384316100783,O01→S001→O01,3123.2221728053637,2.929430740506568,7,76.0,0.159,0.633821157436679,4749.942998359225
R000490,U08,C,C-B04,1908.158457628726,O01→S002→O01,4020.2757785633194,6.188207991148028,6,65.0,0.155,0.22647400110649651,6529.582109499243
R000575,U07,C,C-B01,3123.2221728053637,O01→S004→O01,5429.563161678116,6.183632102881447,6,59.0,0.156,0.22704598713981916,7937.630189541841
R000269,U06,B,B-B01,3380.529919364443,O01→S015→O01,5211.00195139668,2.3132950875600145,3,25.0,0.067,0.4216762281099964,6880.096489339353
R000217,U05,B,B-B02,3480.1901873692445,O01→S008→O01,5387.290070030887,2.501216979403006,2,9.0,0.047,0.37469575514924847,7137.81742777219
R000543,U08,C,C-B02,4020.2757785633194,O01→S003→O01,6457.169843443721,6.2104506441401695,6,65.0,0.155,0.22369366948247882,8972.500226231685
R000215,U06,B,B-B03,5211.00195139668,O01→S008→O01,7118.101834058322,3.1614530213285272,2,28.0,0.054,0.2096367446678682,9154.731476634017
R003841,U05,B,B-B04,5387.290070030887,O01→S009→S002→O01,7420.054762803844,2.5092211579755985,3,19.0,0.068,0.37269471050610037,9174.050597926604
R012646,U07,C,C-B03,5429.563161678116,O01→S001→S003→O01,8417.525358241703,6.2729650697129795,7,52.0,0.21000000000000002,0.21587936628587756,10949.786731288968
R000604,U08,C,C-B04,6529.582109499243,O01→S005→O01,8344.418681603842,4.008758049750108,5,51.0,0.128,0.49890524378123646,10263.457320077829
R000223,U06,B,B-B01,7118.101834058322,O01→S009→O01,8619.735333683731,2.0083283642048966,2,22.0,0.055,0.49791790894877586,10156.677624839187
R000241,U05,B,B-B02,7420.054762803844,O01→S011→O01,8610.105829874256,1.078291014653385,3,25.0,0.067,0.7304272463366537,9744.031936224055
