架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,货箱数,载货质量_kg,载货体积_m3,返航SOC,充满时刻_s
R071593,U01,A,A-B01,0.0,O01→S001→O01,1193.0428319099597,1.2243670880422255,1,14.0,0.027,0.7279184248795054,2046.7488795666027
R071594,U02,A,A-B02,0.0,O01→S001→O01,1193.0428319099597,1.2243670880422255,1,14.0,0.027,0.7279184248795054,2046.7488795666027
R071595,U03,A,A-B03,0.0,O01→S001→O01,1193.0428319099597,1.2243670880422255,1,14.0,0.027,0.7279184248795054,2046.7488795666027
R000234,U05,B,B-B01,0.0,O01→S010→O01,1555.285086506462,1.822944274911587,3,25.0,0.067,0.5442639312721033,3011.894272301483
R000248,U06,B,B-B02,0.0,O01→S012→O01,1924.9051008627825,2.7581750126566105,3,25.0,0.067,0.3104562468358474,3786.780939680647
R000490,U07,C,C-B01,0.0,O01→S002→O01,2112.1173209345934,6.188207991148028,6,65.0,0.155,0.22647400110649651,4621.4236518705175
R000637,U08,C,C-B02,0.0,O01→S006→O01,1561.3384316100783,2.5967362481221263,6,59.0,0.156,0.6754079689847342,3097.954498809821
R000262,U05,B,B-B03,1555.285086506462,O01→S014→O01,3424.69073462567,2.139455036916048,3,25.0,0.067,0.46513624077098803,5018.454583955958
R000438,U08,C,C-B03,1561.3384316100783,O01→S001→O01,3123.2221728053637,2.929430740506568,7,76.0,0.159,0.633821157436679,4749.942998359225
R000255,U06,B,B-B04,1924.9051008627825,O01→S013→O01,3436.0293721080175,1.8264941955170582,3,25.0,0.067,0.5433764511207355,4894.176856832076
R000660,U07,C,C-B04,2112.1173209345934,O01→S007→O01,4020.2757785633194,3.4140282492727447,5,45.0,0.129,0.5732464688409069,5778.241762741354
R000683,U08,C,C-B02,3123.2221728053637,O01→S008→O01,5328.1918328921365,5.863901265235219,5,45.0,0.129,0.26701234184559763,7749.6650922266745
R000158,U05,B,B-B01,3424.69073462567,O01→S003→O01,5506.016753444874,2.555978122448744,3,19.0,0.068,0.36100546938781397,7280.27393983933
R000269,U06,B,B-B02,3786.780939680647,O01→S015→O01,5617.252971712884,2.3132950875600145,3,25.0,0.067,0.4216762281099964,7286.347509655557
R000516,U07,C,C-B01,4621.4236518705175,O01→S003→O01,6992.317716750919,6.047997322097612,5,62.0,0.143,0.24400033473779847,9463.650324819022
R000575,U08,C,C-B03,5328.1918328921365,O01→S004→O01,7634.532821764888,6.183632102881447,6,59.0,0.156,0.22704598713981916,10142.599849628612
R000223,U05,B,B-B03,5506.016753444874,O01→S009→O01,7007.650253070284,2.0083283642048966,2,22.0,0.055,0.49791790894877586,8544.59254422574
R003841,U06,B,B-B04,5617.252971712884,O01→S009→S002→O01,7650.01766448584,2.5092211579755985,3,19.0,0.068,0.37269471050610037,9404.0134996086
R000606,U07,C,C-B04,6992.317716750919,O01→S005→O01,8873.154288855518,4.243375238123245,6,59.0,0.156,0.4695780952345944,10855.735082513896
R000241,U05,B,B-B01,7280.27393983933,O01→S011→O01,8470.325006909741,1.078291014653385,3,25.0,0.067,0.7304272463366537,9604.251113259541
R000280,U08,C,C-B02,7749.6650922266745,O01→S001→O01,9179.548833421959,2.1522600937964227,5,36.0,0.15400000000000003,0.7309674882754471,10595.78594215849
