架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,货箱数,载货质量_kg,载货体积_m3,返航SOC,充满时刻_s
R000061,U01,A,A-B01,0.0,O01→S007→O01,1728.1640849143257,1.829096309512252,2,9.0,0.047,0.5935341534417218,2756.5696854400876
R000086,U02,A,A-B02,0.0,O01→S011→O01,1224.0611902019475,1.1961365366604175,2,22.0,0.055,0.7341918807421295,2069.611745237179
R000100,U03,A,A-B03,0.0,O01→S013→O01,1612.9286703553717,1.8974574515783407,2,11.0,0.04,0.5783427885381465,2661.083045255781
R002244,U04,A,A-B04,0.0,O01→S011→S008→O01,2482.7793849180125,3.151536977439284,3,12.0,0.059,0.29965844945793696,3893.2234006226945
R000203,U05,B,B-B01,0.0,O01→S007→O01,1576.8673992791169,1.880687172554274,2,28.0,0.054,0.5298282068614315,3058.498507385969
R000262,U06,B,B-B02,0.0,O01→S014→O01,1869.4056481192079,2.139455036916048,3,25.0,0.067,0.46513624077098803,3463.1694974494953
R000490,U07,C,C-B01,0.0,O01→S002→O01,2112.1173209345934,6.188207991148028,6,65.0,0.155,0.22647400110649651,4621.4236518705175
R000637,U08,C,C-B02,0.0,O01→S006→O01,1561.3384316100783,2.5967362481221263,6,59.0,0.156,0.6754079689847342,3097.954498809821
R000438,U08,C,C-B03,1561.3384316100783,O01→S001→O01,3123.2221728053637,2.929430740506568,7,76.0,0.159,0.633821157436679,4749.942998359225
R000234,U05,B,B-B03,1576.8673992791169,O01→S010→O01,3132.152485785579,1.822944274911587,3,25.0,0.067,0.5442639312721033,4588.7616715806
R001706,U02,A,A-B05,1224.0611902019475,O01→S005→S008→O01,3663.7072120884222,3.2380278246304393,2,16.0,0.056,0.28043826119323567,5099.137472537216
R000248,U06,B,B-B04,1869.4056481192079,O01→S012→O01,3794.3107489819904,2.7581750126566105,3,25.0,0.067,0.3104562468358474,5656.186587799855
R000543,U07,C,C-B04,2112.1173209345934,O01→S003→O01,4549.011385814995,6.2104506441401695,6,65.0,0.155,0.22369366948247882,7064.341768602958
R002168,U01,A,A-B02,2069.611745237179,O01→S013→S007→O01,4621.51985853845,3.5288273702162645,2,22.0,0.055,0.21581613995194127,6140.958876600926
R071594,U03,A,A-B03,2661.083045255781,O01→S001→O01,3854.125877165741,1.2243670880422255,1,14.0,0.027,0.7279184248795054,4707.831924822383
R000575,U08,C,C-B02,3123.2221728053637,O01→S004→O01,5429.563161678116,6.183632102881447,6,59.0,0.156,0.22704598713981916,7937.630189541841
R000269,U05,B,B-B01,3132.152485785579,O01→S015→O01,4962.624517817816,2.3132950875600145,3,25.0,0.067,0.4216762281099964,6631.719055760489
R000074,U04,A,A-B01,2756.5696854400876,O01→S009→O01,4449.172625442227,2.340786267550605,2,22.0,0.055,0.4798252738776434,5625.3997694012905
R003841,U06,B,B-B02,3794.3107489819904,O01→S009→S002→O01,5827.075441754947,2.5092211579755985,3,19.0,0.068,0.37269471050610037,7581.071276877707
R071595,U03,A,A-B06,3854.125877165741,O01→S001→O01,5047.1687090757005,1.2243670880422255,1,14.0,0.027,0.7279184248795054,5900.8747567323435
R000025,U02,A,A-B04,3893.2234006226945,O01→S003→O01,6156.856073479382,2.966638085693427,2,16.0,0.056,0.34074709206812726,7513.884853790816
R000604,U07,C,C-B01,4621.4236518705175,O01→S005→O01,6436.260223975116,4.008758049750108,5,51.0,0.128,0.49890524378123646,8355.298862449103
R071593,U01,A,A-B03,4707.831924822383,O01→S001→O01,5900.874756732343,1.2243670880422255,1,14.0,0.027,0.7279184248795054,6754.580804388986
R000215,U05,B,B-B03,4962.624517817816,O01→S008→O01,6869.724400479458,3.1614530213285272,2,28.0,0.054,0.2096367446678682,8906.354043055153
R000280,U08,C,C-B03,5429.563161678116,O01→S001→O01,6859.446902873401,2.1522600937964227,5,36.0,0.15400000000000003,0.7309674882754471,8275.684011609932
