架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,货箱数,载货质量_kg,载货体积_m3,返航SOC,充满时刻_s
R000098,U01,A,A-B01,0.0,O01→S013→O01,1612.9286703553717,2.0273799456795905,2,22.0,0.055,0.5494711231823133,2698.6162102183644
R002453,U02,A,A-B02,0.0,O01→S010→S013→O01,2071.020046420254,2.2896010155969475,3,20.0,0.051000000000000004,0.4911997743117894,3232.460339814928
R071593,U03,A,A-B03,0.0,O01→S001→O01,1193.0428319099597,1.2243670880422255,1,14.0,0.027,0.7279184248795054,2046.7488795666027
R071594,U04,A,A-B04,0.0,O01→S001→O01,1193.0428319099597,1.2243670880422255,1,14.0,0.027,0.7279184248795054,2046.7488795666027
R000203,U05,B,B-B01,0.0,O01→S007→O01,1576.8673992791169,1.880687172554274,2,28.0,0.054,0.5298282068614315,3058.498507385969
R000248,U06,B,B-B02,0.0,O01→S012→O01,1924.9051008627825,2.7581750126566105,3,25.0,0.067,0.3104562468358474,3786.780939680647
R000438,U07,C,C-B01,0.0,O01→S001→O01,1561.8837411952854,2.929430740506568,7,76.0,0.159,0.633821157436679,3188.6045667491476
R000637,U08,C,C-B02,0.0,O01→S006→O01,1561.3384316100783,2.5967362481221263,6,59.0,0.156,0.6754079689847342,3097.954498809821
R000490,U08,C,C-B03,1561.3384316100783,O01→S002→O01,3673.4557525446717,6.188207991148028,6,65.0,0.155,0.22647400110649651,6182.762083480596
R000683,U07,C,C-B04,1561.8837411952854,O01→S008→O01,3766.8534012820583,5.863901265235219,5,45.0,0.129,0.26701234184559763,6188.326660616596
R000262,U05,B,B-B03,1576.8673992791169,O01→S014→O01,3446.2730473983247,2.139455036916048,3,25.0,0.067,0.46513624077098803,5040.036896728612
R004168,U06,B,B-B04,1924.9051008627825,O01→S007→S003→O01,4165.673378016352,2.5308484199305328,3,19.0,0.068,0.3672878950173668,5929.041026652916
R071595,U01,A,A-B03,2046.7488795666027,O01→S001→O01,3239.7917114765623,1.2243670880422255,1,14.0,0.027,0.7279184248795054,4093.4977591332054
R003841,U05,B,B-B01,3446.2730473983247,O01→S009→S002→O01,5479.037740171281,2.5092211579755985,3,19.0,0.068,0.37269471050610037,7233.033575294041
R000543,U08,C,C-B01,3673.4557525446717,O01→S003→O01,6110.3498174250735,6.2104506441401695,6,65.0,0.155,0.22369366948247882,8625.680200213035
R000575,U07,C,C-B02,3766.8534012820583,O01→S004→O01,6073.194390154809,6.183632102881447,6,59.0,0.156,0.22704598713981916,8581.261418018534
R000223,U06,B,B-B02,4165.673378016352,O01→S009→O01,5667.306877641762,2.0083283642048966,2,22.0,0.055,0.49791790894877586,7204.249168797218
R000269,U05,B,B-B03,5479.037740171281,O01→S015→O01,7309.509772203518,2.3132950875600145,3,25.0,0.067,0.4216762281099964,8978.604310146191
R029122,U07,C,C-B03,6182.762083480596,O01→S007→S001→O01,8665.113349503543,4.985984381240163,7,50.0,0.21700000000000003,0.3767519523449796,10848.817452756088
R000606,U08,C,C-B04,6188.326660616596,O01→S005→O01,8069.163232721195,4.243375238123245,6,59.0,0.156,0.4695780952345944,10051.744026379574
R000228,U06,B,B-B04,5929.041026652916,O01→S010→O01,7364.326113159378,1.5154093883611501,1,8.0,0.028,0.6211476529097124,8687.67018144921
R000241,U05,B,B-B01,7309.509772203518,O01→S011→O01,8499.56083927393,1.078291014653385,3,25.0,0.067,0.7304272463366537,9633.48694562373
