架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,货箱数,载货质量_kg,载货体积_m3,返航SOC,充满时刻_s
R000010,U01,A,A-B01,0.0,O01→S001→O01,1253.0428319099597,1.1827596737740342,2,6.0,0.024,0.7371645169391035,2094.7289598891252
R071593,U02,A,A-B02,0.0,O01→S001→O01,1193.0428319099597,1.2243670880422255,1,14.0,0.027,0.7279184248795054,2046.7488795666027
R071594,U03,A,A-B03,0.0,O01→S001→O01,1193.0428319099597,1.2243670880422255,1,14.0,0.027,0.7279184248795054,2046.7488795666027
R071595,U04,A,A-B04,0.0,O01→S001→O01,1193.0428319099597,1.2243670880422255,1,14.0,0.027,0.7279184248795054,2046.7488795666027
R000255,U05,B,B-B01,0.0,O01→S013→O01,1511.124271245235,1.8264941955170582,3,25.0,0.067,0.5433764511207355,2969.2717559692933
R000262,U06,B,B-B02,0.0,O01→S014→O01,1869.4056481192079,2.139455036916048,3,25.0,0.067,0.46513624077098803,3463.1694974494953
R000326,U07,C,C-B01,0.0,O01→S001→O01,1429.8837411952854,2.7314244897906628,5,70.0,0.135,0.6585719387761672,3002.977873846923
R000660,U08,C,C-B02,0.0,O01→S007→O01,1908.158457628726,3.4140282492727447,5,45.0,0.129,0.5732464688409069,3666.124441806761
R000637,U07,C,C-B03,1429.8837411952854,O01→S006→O01,2991.2221728053637,2.5967362481221263,6,59.0,0.156,0.6754079689847342,4527.838240005107
R000234,U05,B,B-B03,1511.124271245235,O01→S010→O01,3066.409357751697,1.822944274911587,3,25.0,0.067,0.5442639312721033,4523.018543546717
R000248,U06,B,B-B04,1869.4056481192079,O01→S012→O01,3794.3107489819904,2.7581750126566105,3,25.0,0.067,0.3104562468358474,5656.186587799855
R000490,U08,C,C-B04,1908.158457628726,O01→S002→O01,4020.2757785633194,6.188207991148028,6,65.0,0.155,0.22647400110649651,6529.582109499243
R000683,U07,C,C-B01,3002.977873846923,O01→S008→O01,5207.947533933696,5.863901265235219,5,45.0,0.129,0.26701234184559763,7629.420793268235
R003841,U05,B,B-B01,3066.409357751697,O01→S009→S002→O01,5099.174050524653,2.5092211579755985,3,19.0,0.068,0.37269471050610037,6853.169885647412
R000223,U06,B,B-B02,3794.3107489819904,O01→S009→O01,5295.9442486074,2.0083283642048966,2,22.0,0.055,0.49791790894877586,6832.886539762856
R000516,U08,C,C-B02,4020.2757785633194,O01→S003→O01,6391.169843443721,6.047997322097612,5,62.0,0.143,0.24400033473779847,8862.502451511824
R000269,U05,B,B-B03,5099.174050524653,O01→S015→O01,6929.646082556889,2.3132950875600145,3,25.0,0.067,0.4216762281099964,8598.740620499562
R000575,U07,C,C-B03,5207.947533933696,O01→S004→O01,7514.288522806448,6.183632102881447,6,59.0,0.156,0.22704598713981916,10022.355550670174
R000158,U06,B,B-B04,5656.186587799855,O01→S003→O01,7737.512606619059,2.555978122448744,3,19.0,0.068,0.36100546938781397,9511.769793013515
R000606,U08,C,C-B04,6529.582109499243,O01→S005→O01,8410.418681603842,4.243375238123245,6,59.0,0.156,0.4695780952345944,10392.99947526222
R000241,U05,B,B-B01,6929.646082556889,O01→S011→O01,8119.697149627302,1.078291014653385,3,25.0,0.067,0.7304272463366537,9253.623255977102
R000278,U07,C,C-B01,7629.420793268235,O01→S001→O01,8927.304534463521,2.054099291436448,3,24.0,0.084,0.743237588570444,10316.956425894226
R000115,U06,B,B-B02,7737.512606619059,O01→S001→O01,8888.327477778537,0.9937863532478961,2,12.0,0.07,0.751553411688026,9985.634897519292
