架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,货箱数,载货质量_kg,载货体积_m3,返航SOC,充满时刻_s
R000054,U01,A,A-B01,0.0,O01→S006→O01,1313.2088986841472,1.268662465658304,2,11.0,0.04,0.7180750076314879,2179.711388763213
R000086,U02,A,A-B02,0.0,O01→S011→O01,1224.0611902019475,1.1961365366604175,2,22.0,0.055,0.7341918807421295,2069.611745237179
R002243,U03,A,A-B03,0.0,O01→S008→S011→O01,2482.7793849180125,3.182346240776831,3,12.0,0.059,0.29281194649403763,3902.1238544757634
R071594,U04,A,A-B04,0.0,O01→S001→O01,1193.0428319099597,1.2243670880422255,1,14.0,0.027,0.7279184248795054,2046.7488795666027
R000234,U05,B,B-B01,0.0,O01→S010→O01,1555.285086506462,1.822944274911587,3,25.0,0.067,0.5442639312721033,3011.894272301483
R000255,U06,B,B-B02,0.0,O01→S013→O01,1511.124271245235,1.8264941955170582,3,25.0,0.067,0.5433764511207355,2969.2717559692933
R000438,U07,C,C-B01,0.0,O01→S001→O01,1561.8837411952854,2.929430740506568,7,76.0,0.159,0.633821157436679,3188.6045667491476
R000619,U08,C,C-B02,0.0,O01→S006→O01,1429.3384316100783,2.4067657265949505,4,48.0,0.11599999999999999,0.6991542841756312,2914.504149229544
R071595,U04,A,A-B05,1193.0428319099597,O01→S001→O01,2386.0856638199193,1.2243670880422255,1,14.0,0.027,0.7279184248795054,3239.7917114765623
R001706,U02,A,A-B06,1224.0611902019475,O01→S005→S008→O01,3663.7072120884222,3.2380278246304393,2,16.0,0.056,0.28043826119323567,5099.137472537216
R000490,U08,C,C-B03,1429.3384316100783,O01→S002→O01,3541.4557525446717,6.188207991148028,6,65.0,0.155,0.22647400110649651,6050.762083480596
R000262,U06,B,B-B03,1511.124271245235,O01→S014→O01,3380.529919364443,2.139455036916048,3,25.0,0.067,0.46513624077098803,4974.29376869473
R000248,U05,B,B-B04,1555.285086506462,O01→S012→O01,3480.1901873692445,2.7581750126566105,3,25.0,0.067,0.3104562468358474,5342.066026187109
R000657,U07,C,C-B04,1561.8837411952854,O01→S007→O01,3338.0421988240114,3.1916371163964303,3,31.0,0.066,0.6010453604504462,5035.777251181378
R000025,U01,A,A-B02,2069.611745237179,O01→S003→O01,4333.244418093866,2.966638085693427,2,16.0,0.056,0.34074709206812726,5690.273198405301
R000575,U07,C,C-B01,3338.0421988240114,O01→S004→O01,5644.383187696763,6.183632102881447,6,59.0,0.156,0.22704598713981916,8152.450215560489
R000269,U06,B,B-B01,3380.529919364443,O01→S015→O01,5211.00195139668,2.3132950875600145,3,25.0,0.067,0.4216762281099964,6880.096489339353
R000215,U05,B,B-B02,3480.1901873692445,O01→S008→O01,5387.290070030887,3.1614530213285272,2,28.0,0.054,0.2096367446678682,7423.919712606583
R000543,U08,C,C-B02,3541.4557525446717,O01→S003→O01,5978.3498174250735,6.2104506441401695,6,65.0,0.155,0.22369366948247882,8493.680200213035
R000074,U02,A,A-B01,3663.7072120884222,O01→S009→O01,5356.310152090562,2.340786267550605,2,22.0,0.055,0.4798252738776434,6532.537296049626
R071593,U03,A,A-B04,2482.7793849180125,O01→S001→O01,3675.822216827972,1.2243670880422255,1,14.0,0.027,0.7279184248795054,4529.528264484615
R000199,U06,B,B-B03,5211.00195139668,O01→S007→O01,6787.869350675797,1.55454865891701,2,14.0,0.063,0.6113628352707474,8128.173769539835
R003841,U05,B,B-B04,5387.290070030887,O01→S009→S002→O01,7420.054762803844,2.5092211579755985,3,19.0,0.068,0.37269471050610037,9174.050597926604
R000604,U07,C,C-B04,5644.383187696763,O01→S005→O01,7459.219759801362,4.008758049750108,5,51.0,0.128,0.49890524378123646,9378.25839827535
R000280,U08,C,C-B03,6050.762083480596,O01→S001→O01,7480.645824675881,2.1522600937964227,5,36.0,0.15400000000000003,0.7309674882754471,8896.882933412413
